ID_W,DATA,CZAS_T0_UTC,Mw,Lat,Lon
20240507.172757.30,07.05.2024,17:27:57.30,"2,73","50,196","18,6936"
20240508.155207.78,08.05.2024,15:52:07.78,"2,97","50,201","19,0766"
20240508.172043.41,08.05.2024,17:20:43.41,"2,08","50,081","18,4593"
20240508.203333.23,08.05.2024,20:33:33.23,"2,7","50,0916","19,2071"
20240509.005705.02,09.05.2024,00:57:05.02,"2,42","50,1767","19,3399"
20240509.080824.44,09.05.2024,08:08:24.44,"2,57","50,0897","19,2069"
20240509.083031.92,09.05.2024,08:30:31.92,"2,46","50,0909","19,2052"
20240509.103419.25,09.05.2024,10:34:19.25,"2,23","50,1932","18,7959"
20240509.123434.50,09.05.2024,12:34:34.50,"2,34","50,1769","19,3397"
20240509.150209.97,09.05.2024,15:02:09.97,"2,29","50,0913","19,2078"
20240509.160355.90,09.05.2024,16:03:55.90,"2,15","50,0818","18,459"
20240509.225659.69,09.05.2024,22:56:59.69,"2,88","50,2015","19,0748"
20240509.232956.38,09.05.2024,23:29:56.38,"2,52","50,1766","19,3417"
20240510.005052.62,10.05.2024,00:50:52.62,"2,42","50,0821","18,4594"
20240510.175246.08,10.05.2024,17:52:46.08,"2,71","50,1964","18,6936"
20240510.210304.53,10.05.2024,21:03:04.53,"2,15","50,0822","18,4584"
20240510.214643.88,10.05.2024,21:46:43.88,"2,83","50,1034","19,3524"
20240511.064700.26,11.05.2024,06:47:00.26,"2,66","50,1769","19,3403"
20240511.065627.32,11.05.2024,06:56:27.32,"2,35","50,177","19,3404"
20240511.091135.94,11.05.2024,09:11:35.94,"2,32","50,2053","18,7901"
20240511.091306.81,11.05.2024,09:13:06.81,"2,64","50,1805","18,7421"
20240511.102148.81,11.05.2024,10:21:48.81,"2,79","50,0918","19,2074"
20240511.203457.10,11.05.2024,20:34:57.10,"2,71","50,1812","19,0784"
20240513.183136.44,13.05.2024,18:31:36.44,"2,65","50,201","19,0767"
20240513.211210.20,13.05.2024,21:12:10.20,"2,54","50,0911","19,208"
20240513.230350.80,13.05.2024,23:03:50.80,"2,15","50,177","19,34"
20240514.012933.78,14.05.2024,01:29:33.78,"3,2","50,1856","19,1036"
20240514.015929.21,14.05.2024,01:59:29.21,"2,86","50,2311","18,8355"
20240514.034907.73,14.05.2024,03:49:07.73,"2,46","50,1758","19,3419"
